id,nickname,affiliation name,score,LIGAbue - timestamp,LIGAbue - score,Secure comparator - timestamp,Secure comparator - score,Borraccia - timestamp,Borraccia - score,Big RSA - timestamp,Big RSA - score,Scrambled Pizzeria - timestamp,Scrambled Pizzeria - score,Duality - timestamp,Duality - score,ZIP Extractor 3000 - timestamp,ZIP Extractor 3000 - score,Subarray Sums 101 - timestamp,Subarray Sums 101 - score,LogService - timestamp,LogService - score,:q!!!!!!! - timestamp,:q!!!!!!! - score,Safe Image Storage - timestamp,Safe Image Storage - score,leakynote v3 - timestamp,leakynote v3 - score,ᴬnother ᵤseless ᴬpplication - timestamp,ᴬnother ᵤseless ᴬpplication - score,Super Admin Panel - timestamp,Super Admin Panel - score,Modern Sicilian Network - timestamp,Modern Sicilian Network - score
307,Cyberlandsholdet,TeamItaly CTF 2023,1562,,,,,,,1696079235791,90,1696105042868,232,,,1696104729533,414,,,1696101761665,207,,,1696083373019,324,,,,,1696160625327,99,1696156295296,196
274,srdnlen,TeamItaly CTF 2023,1537,1696085091373,96,,,,,1696081044327,90,1696107686667,232,,,,,,,,,,,1696106673089,324,1696088003502,500,,,1696089184402,99,1696151174845,196
216,HeroisDoMar,TeamItaly CTF 2023,1318,1696084241858,96,,,,,1696082754166,90,1696081054692,232,,,,,1696158769513,281,,,,,1696155233214,324,,,,,1696083100540,99,1696089105126,196
260,remaining:blankets,TeamItaly CTF 2023,1294,1696147511330,96,,,,,1696079730517,90,1696095233462,232,1696148849869,453,,,,,,,,,1696103651279,324,,,,,1696099745092,99,,
261,FlagMotori,TeamItaly CTF 2023,1049,1696112094711,96,,,,,,,,,,,,,,,,,1696154879796,500,,,,,1696101098717,453,,,,
127,TRX,TeamItaly CTF 2023,1037,1696090582676,96,,,,,1696082605033,90,1696089423879,232,,,,,,,,,,,1696086999493,324,,,,,1696106373360,99,1696150669138,196
165,dtl,TeamItaly CTF 2023,1005,1696083374854,96,,,,,1696080403773,90,1696096735105,232,,,,,1696155556426,281,1696157179247,207,,,,,,,,,1696101405947,99,,
25,FoocHackz,TeamItaly CTF 2023,971,,,,,1696095526285,453,1696079890522,90,1696160963693,232,,,,,,,,,,,,,,,,,,,1696149148278,196
287,MadrHacks,TeamItaly CTF 2023,922,1696080953740,96,,,,,,,,,,,,,,,1696083380867,207,,,1696114875041,324,,,,,1696089253763,99,1696087781260,196
256,ECSC TeamNL 2023,TeamItaly CTF 2023,906,1696103159912,96,,,,,1696083464631,90,,,,,1696158674353,414,,,1696087177780,207,,,,,,,,,1696100993155,99,,
144,Kinder Bueno,TeamItaly CTF 2023,844,1696085660473,96,,,,,,,,,,,,,,,,,,,,,,,1696146492074,453,1696093679747,99,1696153516694,196
283,Kokoška,TeamItaly CTF 2023,841,1696095484657,96,,,,,,,1696155330570,232,,,1696111796061,414,,,,,,,,,,,,,1696087231482,99,,
280,Zer0Tolerance,TeamItaly CTF 2023,838,,,,,1696118170397,453,1696091825354,90,,,,,,,,,,,,,,,,,,,1696105206743,99,1696081064593,196
112,Team Pitucci,TeamItaly CTF 2023,699,1696090433675,96,,,,,1696090988178,90,1696100251977,232,,,,,1696088438427,281,,,,,,,,,,,,,,
58,neuland,TeamItaly CTF 2023,695,1696085765412,96,1696107835994,500,,,,,,,,,,,,,,,,,,,,,,,1696099141703,99,,
12,Rubi di Cubrik,TeamItaly CTF 2023,674,1696088375667,96,,,,,1696082659457,90,,,,,,,1696146594748,281,1696160121234,207,,,,,,,,,,,,
15,K!nd4SUS,TeamItaly CTF 2023,566,1696088501281,96,,,,,1696089982642,90,,,,,,,1696133429288,281,,,,,,,,,,,1696161116573,99,,
82,Little computer demons,TeamItaly CTF 2023,529,,,,,,,1696105454807,90,1696157346253,232,,,,,,,1696132169283,207,,,,,,,,,,,,
148,54e2952a4f049a4d8f11740c0ca852d6,TeamItaly CTF 2023,492,1696160863521,96,,,,,1696107259653,90,,,,,,,,,1696094258861,207,,,,,,,,,1696102490613,99,,
239,/mnt/ain,TeamItaly CTF 2023,481,1696082760118,96,,,,,1696106225666,90,,,,,,,,,,,,,,,,,,,1696097769993,99,1696102920747,196
16,CyberSp3ck,TeamItaly CTF 2023,476,1696151139924,96,,,,,,,,,,,,,1696147693317,281,,,,,,,,,,,1696084535186,99,,
135,CyKor,TeamItaly CTF 2023,467,1696083503933,96,,,,,1696078221256,90,,,,,,,1696096309600,281,,,,,,,,,,,,,,
348,/bad,TeamItaly CTF 2023,453,,,,,,,,,,,1696098356653,453,,,,,,,,,,,,,,,,,,
